no,name,level,18/08/2026,19/08/2026,20/08/2026,21/08/2026,24/08/2026,25/08/2026,26/08/2026,27/08/2026,28/08/2026,31/08/2026,01/09/2026,02/09/2026,03/09/2026,04/09/2026,07/09/2026,08/09/2026,09/09/2026,10/09/2026,11/09/2026,14/09/2026,15/09/2026,16/09/2026,17/09/2026,city,commodity,comcat_id
1,Kota Surabaya,2,"32,000","32,000","32,000","32,000","30,250","30,250","30,250","29,500","28,250","30,250","30,250","30,250","30,250","28,750","28,750","28,750","28,750","27,750","30,000","31,250","31,250","30,500",-,Kota Surabaya,bawang_merah,cat_5
2,Kota Malang,2,"35,250","35,250","33,500","33,500","33,000","33,000","33,000","33,000","33,000","33,000","33,500","33,500","33,500","33,500","34,500","34,500","34,500","34,500","33,750","31,500","31,500","31,500",-,Kota Malang,bawang_merah,cat_5
3,Kota Kediri,2,"26,750","26,750","26,500","25,500","27,750","27,750","27,750","27,750","27,250","26,250","26,250","26,250","26,250","26,250","26,750","26,750","26,500","26,500","25,500","25,500","25,500","24,500",-,Kota Kediri,bawang_merah,cat_5
6,Kota Madiun,2,"28,750","28,750","28,750","28,750","29,500","29,500","29,500","29,500","29,500","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,500","29,500","29,500",-,Kota Madiun,bawang_merah,cat_5
7,Kota Probolinggo,2,"31,000","31,000","31,000","31,000","31,000","31,000","31,000","30,500","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","25,250","25,000","25,000","25,000",-,Kota Probolinggo,bawang_merah,cat_5
9,Kota Blitar,2,"24,000","24,000","24,000","24,000","24,000","24,000","24,000","25,750","25,750","24,500","24,500","24,250","24,250","24,250","24,250","22,500","22,500","22,500","23,500","23,500","23,500","23,500",-,Kota Blitar,bawang_merah,cat_5
1,Kota Surabaya,2,"33,150","30,250","30,400","30,650","28,000","28,000","28,750","26,650","25,900","23,900","24,650","25,150","24,500","25,400","27,000","27,000","29,150","30,250","29,150","29,150","29,750","31,150",-,Kota Surabaya,cabai_merah,cat_7
2,Kota Malang,2,"40,250","40,250","36,250","36,250","33,150","33,150","33,500","33,500","33,500","29,500","29,400","28,150","28,150","28,150","30,750","30,750","30,650","30,650","31,250","32,250","32,500","32,500",-,Kota Malang,cabai_merah,cat_7
3,Kota Kediri,2,"35,000","30,750","30,400","30,000","30,400","30,400","29,650","28,000","27,750","26,400","26,150","26,650","27,650","27,650","30,500","30,500","30,750","30,750","31,900","32,750","33,500","34,000",-,Kota Kediri,cabai_merah,cat_7
6,Kota Madiun,2,"35,900","35,900","35,500","34,750","31,750","31,750","32,000","32,250","32,000","30,150","30,650","30,650","30,650","32,500","35,150","34,500","37,500","37,000","37,500","37,250","39,000","39,500",-,Kota Madiun,cabai_merah,cat_7
7,Kota Probolinggo,2,"25,000","25,000","25,000","25,000","25,000","25,000","22,500","20,000","20,000","20,000","19,500","19,500","19,500","19,500","20,000","20,000","20,000","20,000","20,000","25,000","25,000","20,000",-,Kota Probolinggo,cabai_merah,cat_7
9,Kota Blitar,2,"26,400","26,400","28,250","24,150","25,000","25,000","25,000","25,000","21,250","28,150","24,900","20,750","20,750","20,750","24,400","25,900","26,250","26,250","26,000","28,400","31,900","31,000",-,Kota Blitar,cabai_merah,cat_7
1,Kota Surabaya,2,"40,650","41,250","44,150","43,650","43,400","43,400","46,650","48,250","48,750","48,150","46,500","48,650","49,400","50,500","51,650","51,650","52,250","50,000","48,150","48,250","48,250","48,250",-,Kota Surabaya,cabai_rawit,cat_8
2,Kota Malang,2,"45,500","45,500","48,000","47,750","48,900","48,900","48,650","48,900","49,900","52,500","53,250","55,400","55,900","54,650","55,900","56,150","56,150","55,900","55,250","51,650","53,900","55,250",-,Kota Malang,cabai_rawit,cat_8
3,Kota Kediri,2,"42,400","41,750","41,750","41,750","44,900","44,900","44,900","45,150","47,400","49,150","48,650","49,650","52,750","53,150","53,650","53,650","53,650","53,650","52,500","52,400","52,750","53,150",-,Kota Kediri,cabai_rawit,cat_8
6,Kota Madiun,2,"46,400","45,500","45,500","46,650","49,750","49,750","50,000","50,500","52,400","48,750","52,500","54,150","53,500","57,750","56,400","56,400","56,750","57,250","57,400","53,400","56,250","56,250",-,Kota Madiun,cabai_rawit,cat_8
7,Kota Probolinggo,2,"42,500","43,400","41,250","42,500","46,000","46,000","45,500","46,250","48,250","47,500","47,500","47,500","50,750","52,000","50,000","50,000","50,000","50,000","47,500","47,500","50,000","50,000",-,Kota Probolinggo,cabai_rawit,cat_8
9,Kota Blitar,2,"38,150","38,150","43,000","39,400","48,000","48,000","48,000","48,000","48,000","48,000","47,900","51,000","51,500","51,500","48,400","48,900","55,250","55,250","51,500","51,500","51,500","57,000",-,Kota Blitar,cabai_rawit,cat_8
